"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"minCorrelation"	"maxCorrelation"	"actCorrelation"	"agreementIndex"
1	2	"w_dishes.mp4"	"c"	"sample"	-0.0199730545522712	0.369501509217017	0.174764227332373	0.5
1	2	"w_dishes.mp4"	"c"	"random"	-0.0199730545522712	0.369501509217017	-0.0199730545522712	0
1	2	"w_dishes.mp4"	"c"	"crossMov"	-0.0415479189169596	0.653313140899408	0.0101459131767332	0.0580357142857143
1	2	"w_dishes.mp4"	"f"	"sample"	-0.175668832705369	0.171849945037861	0.128410097819958	0.875
1	2	"w_dishes.mp4"	"f"	"random"	-0.175668832705369	0.171849945037861	-0.0453492910516579	0.375
1	2	"w_dishes.mp4"	"f"	"crossMov"	-0.375609934397752	0.54375020355804	0.0294052005962015	0.38881412468369
1	4	"w_dishes.mp4"	"c"	"sample"	-0.0229591750326542	0.668240042675847	0.224528198382637	0.5
1	4	"w_dishes.mp4"	"c"	"random"	-0.025778837096903	0.569007324778	-0.025778837096903	0
1	4	"w_dishes.mp4"	"c"	"crossMov"	-0.040298273862253	0.551565910484297	0.0422106554321642	0.157738095238095
1	4	"w_dishes.mp4"	"f"	"sample"	-0.440185287227358	0.764993322293482	0.266371531154988	0.589687047587914
1	4	"w_dishes.mp4"	"f"	"random"	-0.497859533583223	0.728794379056915	-0.0201458939307341	0.387963027297526
1	4	"w_dishes.mp4"	"f"	"crossMov"	-0.472681070710633	0.783686994556685	0.0284949481130185	0.394019238796566
1	6	"w_dishes.mp4"	"c"	"sample"	-0.073016317573022	0.565152028007642	0.0931377360564124	0.266052592428304
1	6	"w_dishes.mp4"	"c"	"random"	-0.0788754704953781	0.528105519090675	0.00220132414936763	0.164434669273379
1	6	"w_dishes.mp4"	"c"	"crossMov"	-0.0710226346960202	0.606617647772308	0.0254286078506019	0.173991100359484
1	6	"w_dishes.mp4"	"f"	"sample"	-0.575257807319951	0.67518432337952	0.0804853748333477	0.517474087143259
1	6	"w_dishes.mp4"	"f"	"random"	-0.578404714749398	0.658427530737604	-0.0137683164856616	0.448020270960324
1	6	"w_dishes.mp4"	"f"	"crossMov"	-0.469080041264056	0.698232763458584	0.0322660811191908	0.396489461495238
1	8	"w_dishes.mp4"	"c"	"sample"	-0.113323448847614	0.565045866996568	0.089679114160951	0.314991436450796
1	8	"w_dishes.mp4"	"c"	"random"	-0.122055402092456	0.504544055523958	0.00725980700738051	0.210615079365079
1	8	"w_dishes.mp4"	"c"	"crossMov"	-0.0871639599092781	0.644065233066515	0.023686235904743	0.143842508281121
1	8	"w_dishes.mp4"	"f"	"sample"	-0.698999171671407	0.76708571501484	0.345188261314863	0.711600395791254
1	8	"w_dishes.mp4"	"f"	"random"	-0.69176328301717	0.740474772341017	-0.0404844720141801	0.454198018786061
1	8	"w_dishes.mp4"	"f"	"crossMov"	-0.610239970247789	0.777005704776254	0.0341772036297818	0.457143066885559
1	10	"w_dishes.mp4"	"c"	"sample"	-0.0976684918095642	0.612663761628577	0.123817223080191	0.314367891525399
1	10	"w_dishes.mp4"	"c"	"random"	-0.11571341811791	0.501566659362722	-0.0110719806455215	0.183676268176268
1	10	"w_dishes.mp4"	"c"	"crossMov"	-0.0870053276326204	0.623932978713001	0.00675515727239006	0.127455408730557
1	10	"w_dishes.mp4"	"f"	"sample"	-0.640871101669312	0.751328388912047	0.250052200750025	0.630736165315987
1	10	"w_dishes.mp4"	"f"	"random"	-0.63241821308386	0.728307563821261	0.0433793260876699	0.495124025176515
1	10	"w_dishes.mp4"	"f"	"crossMov"	-0.551105225282189	0.776965459067996	0.038489548220711	0.437454727980711
1	12	"w_dishes.mp4"	"c"	"sample"	-0.11022245706661	0.542751019120983	0.156084028355045	0.378694922294913
1	12	"w_dishes.mp4"	"c"	"random"	-0.13934503068278	0.506698544668081	-0.0126147299130388	0.18274305920423
1	12	"w_dishes.mp4"	"c"	"crossMov"	-0.100425849927242	0.619678753112304	0.0157579633436598	0.149523908671308
1	12	"w_dishes.mp4"	"f"	"sample"	-0.672277543647921	0.770176700968803	0.415603275652721	0.753676758618276
1	12	"w_dishes.mp4"	"f"	"random"	-0.71466064232635	0.719987752647972	0.0117467953826461	0.504895977170128
1	12	"w_dishes.mp4"	"f"	"crossMov"	-0.603720790462699	0.780179601720345	0.0499820668430097	0.46797973429627
1	14	"w_dishes.mp4"	"c"	"sample"	-0.0420978293704882	0.683911010795772	0.317774726490437	0.46760130291252
1	14	"w_dishes.mp4"	"c"	"random"	-0.0709160752976097	0.446185166516091	-0.000221414098225255	0.132893157262905
1	14	"w_dishes.mp4"	"c"	"crossMov"	-0.0723561518003547	0.540884428853232	0.0285701155764326	0.17096274792374
1	14	"w_dishes.mp4"	"f"	"sample"	-0.715891674024802	0.727527437534304	0.356878082930435	0.741519059221766
1	14	"w_dishes.mp4"	"f"	"random"	-0.682437999597671	0.742305473094092	0.0210167396282097	0.491163031444957
1	14	"w_dishes.mp4"	"f"	"crossMov"	-0.599724796783676	0.774686867634943	0.0487054101834901	0.466953784558333
