"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"min.peakiness"	"act.peakiness"
1	2	"3Iron"	"c"	"sample"	2.05776270963648e-05	0.00011960195581916
1	2	"3Iron"	"c"	"random"	2.05776270963648e-05	0.000213718100313991
1	2	"3Iron"	"f"	"sample"	3.523276938519e-05	0.00029808315554838
1	2	"3Iron"	"f"	"random"	3.523276938519e-05	0.000478019520918009
1	2	"Corn"	"c"	"sample"	2.05993481395545e-05	8.49549548374819e-05
1	2	"Corn"	"c"	"random"	2.05993481395545e-05	0.000160548732574022
1	2	"Corn"	"f"	"sample"	3.51174025876619e-05	0.000228123551204515
1	2	"Corn"	"f"	"random"	3.51174025876619e-05	0.000284138829671597
1	4	"3Iron"	"c"	"sample"	2.50466382622646e-05	0.000143510278655943
1	4	"3Iron"	"c"	"random"	2.50466382622646e-05	0.000152243961793503
1	4	"3Iron"	"f"	"sample"	4.06263840014127e-05	0.000465059980487924
1	4	"3Iron"	"f"	"random"	4.06263840014127e-05	0.000370757756242844
1	4	"Corn"	"c"	"sample"	2.32779147279506e-05	0.000103879556204095
1	4	"Corn"	"c"	"random"	2.32779147279506e-05	8.73305683532794e-05
1	4	"Corn"	"f"	"sample"	4.02515741637336e-05	0.000387162984739471
1	4	"Corn"	"f"	"random"	4.02515741637336e-05	0.000293554937190647
1	6	"3Iron"	"c"	"sample"	2.54878738421776e-05	0.000234706608860118
1	6	"3Iron"	"c"	"random"	2.54878738421776e-05	0.000231601006647037
1	6	"3Iron"	"f"	"sample"	4.24088644519833e-05	0.000493474676586097
1	6	"3Iron"	"f"	"random"	4.24088644519833e-05	0.000419599058256045
1	6	"Corn"	"c"	"sample"	2.42120179048497e-05	0.000157731103095221
1	6	"Corn"	"c"	"random"	2.42120179048497e-05	0.000163427951435675
1	6	"Corn"	"f"	"sample"	4.26532706761297e-05	0.00038724109976119
1	6	"Corn"	"f"	"random"	4.26532706761297e-05	0.000285206363754715
1	8	"3Iron"	"c"	"sample"	2.3787433449513e-05	0.000245940465394042
1	8	"3Iron"	"c"	"random"	2.3787433449513e-05	8.97186492041811e-05
1	8	"3Iron"	"f"	"sample"	4.13074112170168e-05	0.000522445182959457
1	8	"3Iron"	"f"	"random"	4.13074112170168e-05	0.000281634621796371
1	8	"Corn"	"c"	"sample"	2.37410426899371e-05	0.000187806420423962
1	8	"Corn"	"c"	"random"	2.37410426899371e-05	0.000117656784292695
1	8	"Corn"	"f"	"sample"	4.20487790742175e-05	0.000416081404518141
1	8	"Corn"	"f"	"random"	4.20487790742175e-05	0.000349315843589926
1	10	"3Iron"	"c"	"sample"	2.69553534942886e-05	0.000213751207201921
1	10	"3Iron"	"c"	"random"	2.69553534942886e-05	0.000151958853415456
1	10	"3Iron"	"f"	"sample"	4.80868357292528e-05	0.000525767400011793
1	10	"3Iron"	"f"	"random"	4.80868357292528e-05	0.000394622567828452
1	10	"Corn"	"c"	"sample"	2.708324335168e-05	0.000272366538859497
1	10	"Corn"	"c"	"random"	2.708324335168e-05	0.000193140125947544
1	10	"Corn"	"f"	"sample"	4.76517197668547e-05	0.000557394380274308
1	10	"Corn"	"f"	"random"	4.76517197668547e-05	0.000356156314256729
1	12	"3Iron"	"c"	"sample"	2.84081066949184e-05	0.000203568414906801
1	12	"3Iron"	"c"	"random"	2.84081066949184e-05	0.000186106899584992
1	12	"3Iron"	"f"	"sample"	4.75932957399167e-05	0.000465568175569124
1	12	"3Iron"	"f"	"random"	4.75932957399167e-05	0.000330218677516351
1	12	"Corn"	"c"	"sample"	2.80227973369041e-05	0.000182281797436101
1	12	"Corn"	"c"	"random"	2.80227973369041e-05	0.000167334789474283
1	12	"Corn"	"f"	"sample"	4.79076196114338e-05	0.000377716053381724
1	12	"Corn"	"f"	"random"	4.79076196114338e-05	0.000323378548672783
1	14	"3Iron"	"c"	"sample"	2.94898781580889e-05	0.000236625765389429
1	14	"3Iron"	"c"	"random"	2.94898781580889e-05	0.000147642630571238
1	14	"3Iron"	"f"	"sample"	4.92233917882767e-05	0.000603053647564118
1	14	"3Iron"	"f"	"random"	4.92233917882767e-05	0.000343462909717855
1	14	"Corn"	"c"	"sample"	2.87809427893188e-05	0.000192302704158889
1	14	"Corn"	"c"	"random"	2.87809427893188e-05	0.000128954839008256
1	14	"Corn"	"f"	"sample"	4.94804765559647e-05	0.000575571554622838
1	14	"Corn"	"f"	"random"	4.94804765559647e-05	0.000328905954473976
1	16	"3Iron"	"c"	"sample"	2.92209135437783e-05	0.00032952373101322
1	16	"3Iron"	"c"	"random"	2.92209135437783e-05	0.000145701707922817
1	16	"3Iron"	"f"	"sample"	4.95226757965151e-05	0.000643221402066539
1	16	"3Iron"	"f"	"random"	4.95226757965151e-05	0.000325004908342933
1	16	"Corn"	"c"	"sample"	2.86778962024399e-05	0.000216144705423568
1	16	"Corn"	"c"	"random"	2.86778962024399e-05	0.000188121989699559
1	16	"Corn"	"f"	"sample"	4.98964343221361e-05	0.000601364665861405
1	16	"Corn"	"f"	"random"	4.98964343221361e-05	0.000370182464794342
1	18	"3Iron"	"c"	"sample"	2.95664710873026e-05	0.000332173469992666
1	18	"3Iron"	"c"	"random"	2.95664710873026e-05	0.000131656020239391
1	18	"3Iron"	"f"	"sample"	4.92980165895613e-05	0.000712264518724145
1	18	"3Iron"	"f"	"random"	4.92980165895613e-05	0.000321626895713795
1	18	"Corn"	"c"	"sample"	2.87665334981209e-05	0.000219281873952703
1	18	"Corn"	"c"	"random"	2.87665334981209e-05	0.000158818403146952
1	18	"Corn"	"f"	"sample"	4.92905854027008e-05	0.000657379229190591
1	18	"Corn"	"f"	"random"	4.92905854027008e-05	0.000364344072086259
1	20	"3Iron"	"c"	"sample"	3.16690280505569e-05	0.000386912887306759
1	20	"3Iron"	"c"	"random"	3.16690280505569e-05	0.000134992948754955
1	20	"3Iron"	"f"	"sample"	5.3231622981205e-05	0.000796925000869622
1	20	"3Iron"	"f"	"random"	5.3231622981205e-05	0.000348962500857277
1	20	"Corn"	"c"	"sample"	3.11197039413769e-05	0.000347330576952
1	20	"Corn"	"c"	"random"	3.11197039413769e-05	0.000132296747662229
1	20	"Corn"	"f"	"sample"	5.33420471951486e-05	0.000836778529945598
1	20	"Corn"	"f"	"random"	5.33420471951486e-05	0.000338396418964904
1	22	"3Iron"	"c"	"sample"	3.20947482223607e-05	0.000400077575750456
1	22	"3Iron"	"c"	"random"	3.20947482223607e-05	0.000104669894448788
1	22	"3Iron"	"f"	"sample"	5.19346224380172e-05	0.000866068770728666
1	22	"3Iron"	"f"	"random"	5.19346224380172e-05	0.000337045813399328
1	22	"Corn"	"c"	"sample"	3.07037912140961e-05	0.000266774125384034
