"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"lower.quantile4","0.03225806","0.16949875","0.23942637","0.28771455","0.32579767","0.35609690","0.38208801","0.40474459","0.41650926","0.42147815","0.42443498","0.42743590","0.42899114","0.43303834","0.43621633","0.43682983"
"upper.quantile4","0.3830196","0.4107284","0.4445519","0.4569766","0.4655203","0.4698955","0.4713821","0.4730521","0.4746078","0.4766386","0.4775612","0.4788331","0.4816374","0.4826539","0.4841236","0.4857344"
"effSize4","0.7487566","1.4349674","1.8834063","2.2122293","2.4811652","2.8427079","3.3976126","4.2140399","5.0144533","5.5457463","6.0809274","6.4732683","6.8733552","7.1164594","7.6479597","7.6669345"
"testCond5","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov","crossMov"
"sampleSize5"," 2"," 4"," 6"," 8","10","12","14","16","18","20","22","24","26","28","30","32"
"grain5","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"mean5","0.2293630","0.2794764","0.3071101","0.3239222","0.3402152","0.3481663","0.3540872","0.3584179","0.3648402","0.3667118","0.3685137","0.3704868","0.3712384","0.3727096","0.3742586","0.3728126"
"sd5","0.07906825","0.06379253","0.05272028","0.04660137","0.04214180","0.04031045","0.03520207","0.03438024","0.03019984","0.03031991","0.02798724","0.02580508","0.02451864","0.02361977","0.02244618","0.02229516"
"lower.quantile5","0.08544781","0.16668490","0.21179947","0.23605428","0.25765028","0.26837000","0.28254573","0.29170252","0.30457087","0.30250701","0.31066736","0.31590385","0.32221685","0.32306071","0.33015581","0.32721871"
"upper.quantile5","0.4278540","0.4211224","0.4142251","0.4168635","0.4211270","0.4233860","0.4192077","0.4214929","0.4200772","0.4214439","0.4201337","0.4186817","0.4189726","0.4176144","0.4181122","0.4161616"
"effSize5"," 0.1829802"," 1.4042633"," 2.2538766"," 3.1097169"," 3.7704669"," 4.3521596"," 5.1760166"," 5.7671947"," 6.6433614"," 6.9779975"," 7.6947121"," 8.4049840"," 9.0348239"," 9.3611528","10.0253784","10.2307834"
